nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
ID3 VC;2;5850;649;289.0;9.0;351.0;0.0;0.9697986577181208;1.0;0.9846678023850085;0.025;0.0015384615384615385;[-0.001476923076923077,0.004553846153846154]
ID3 VC;0;5850;649;294.0;9.0;345.0;1.0;0.9702970297029703;0.9966101694915255;0.9832775919732442;0.025423728813559324;0.0017094017094017094;[-0.001468820662848003,0.004887624081651422]
ID3 VC;1;5850;649;302.0;17.0;328.0;2.0;0.9467084639498433;0.993421052631579;0.9695024077046549;0.04927536231884058;0.003247863247863248;[-0.0011296369870467337,0.007625363482773229]
ID3 VC;0;5850;649;322.0;8.0;319.0;0.0;0.9757575757575757;1.0;0.9877300613496933;0.024464831804281346;0.0013675213675213675;[-0.0014756538613263166,0.004210696596369051]
ID3 VC;1;5850;649;302.0;15.0;329.0;3.0;0.9526813880126183;0.9901639344262295;0.9710610932475885;0.0436046511627907;0.003076923076923077;[-0.0011841881149867945,0.007338034268832948]
ID3 VC;1;5850;649;293.0;12.0;339.0;5.0;0.9606557377049181;0.9832214765100671;0.9718076285240465;0.03418803418803419;0.002905982905982906;[-0.0012354278373517143,0.007047393649317526]
ID3 VC;1;5850;649;326.0;12.0;309.0;2.0;0.9644970414201184;0.9939024390243902;0.978978978978979;0.037383177570093455;0.002393162393162393;[-0.0013660729602841411,0.006152397746608928]
ID3 VC;1;5850;649;328.0;9.0;305.0;7.0;0.973293768545994;0.9791044776119403;0.9761904761904762;0.028662420382165606;0.002735042735042735;[-0.0012830602218512873,0.006753145691936757]
ID3 VC;1;5850;649;301.0;16.0;328.0;4.0;0.9495268138801262;0.9868852459016394;0.9678456591639872;0.046511627906976744;0.003418803418803419;[-0.0010720319261474003,0.007909638763754237]
ID3 VC;0;5850;649;320.0;9.0;314.0;6.0;0.9726443768996961;0.9815950920245399;0.9770992366412213;0.02786377708978328;0.002564102564102564;[-0.0013267423147635639,0.006454947442968692]
media;0;5850;649;307.7;11.6;326.7;3.0;0.963670529282806;0.990344383649823;0.9768253968253969;0.034289092521430684;0.0024957264957264956;[-0.0013430214787099027,0.006334474470162894]
