nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
KNN VC;5734;5850;649;289.0;0.0;360.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;5254;5850;649;295.0;0.0;354.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;5403;5850;649;304.0;0.0;345.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;5299;5850;649;322.0;0.0;327.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;5283;5850;649;305.0;0.0;344.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;5291;5850;649;298.0;0.0;351.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;5683;5850;649;328.0;0.0;321.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;5819;5850;649;335.0;0.0;314.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;5267;5850;649;305.0;0.0;344.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;5226;5850;649;326.0;0.0;323.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
media;5425;5850;649;310.7;0.0;338.3;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
