nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
NB VC;32757;5850;649;316.0;1.0;331.0;1.0;0.9968454258675079;0.9968454258675079;0.9968454258675079;0.0030120481927710845;3.418803418803419E-4;[-0.0010804371028034843,0.001764197786564168]
NB VC;30395;5850;649;296.0;1.0;352.0;0.0;0.9966329966329966;1.0;0.9983136593591906;0.0028328611898017;1.7094017094017094E-4;[-8.348761247735904E-4,0.0011767564666539322]
NB VC;30217;5850;649;308.0;1.0;340.0;0.0;0.9967637540453075;1.0;0.9983792544570502;0.002932551319648094;1.7094017094017094E-4;[-8.348761247735904E-4,0.0011767564666539322]
NB VC;22255;5850;649;297.0;0.0;352.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
NB VC;21637;5850;649;310.0;2.0;337.0;0.0;0.9935897435897436;1.0;0.9967845659163987;0.0058997050147492625;3.418803418803419E-4;[-0.0010804371028034843,0.001764197786564168]
NB VC;21690;5850;649;307.0;1.0;340.0;1.0;0.9967532467532467;0.9967532467532467;0.9967532467532467;0.002932551319648094;3.418803418803419E-4;[-0.0010804371028034843,0.001764197786564168]
NB VC;22156;5850;649;316.0;3.0;329.0;1.0;0.9905956112852664;0.9968454258675079;0.9937106918238994;0.009036144578313253;6.837606837606838E-4;[-0.0013273559500834977,0.002694877317604865]
NB VC;22790;5850;649;324.0;3.0;322.0;0.0;0.9908256880733946;1.0;0.9953917050691244;0.009230769230769232;5.128205128205128E-4;[-0.001229006538923066,0.002254647564564092]
NB VC;21604;5850;649;293.0;0.0;356.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
NB VC;21592;5850;649;327.0;1.0;321.0;0.0;0.9969512195121951;1.0;0.998473282442748;0.003105590062111801;1.7094017094017094E-4;[-8.348761247735904E-4,0.0011767564666539322]
media;24709;5850;649;309.4;1.3;338.0;0.3;0.9958158995815899;0.9990313206328705;0.9974210186976143;0.0038314176245210726;2.735042735042735E-4;[-9.986986300138212E-4,0.0015457071770223684]
