nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
KNN VC;4176;5850;649;318.0;0.0;331.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4166;5850;649;326.0;0.0;323.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4294;5850;649;314.0;0.0;335.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4056;5850;649;297.0;0.0;352.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4111;5850;649;302.0;0.0;347.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4081;5850;649;322.0;0.0;327.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4086;5850;649;329.0;0.0;320.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4046;5850;649;282.0;0.0;367.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4182;5850;649;301.0;0.0;348.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
KNN VC;4027;5850;649;334.0;0.0;315.0;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
media;4122;5850;649;312.5;0.0;336.5;0.0;1.0;1.0;1.0;0.0;0.0;[0.0,0.0]
