nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
NB VC;12350;5850;649;327.0;1.0;321.0;0.0;0.9969512195121951;1.0;0.998473282442748;0.003105590062111801;1.7094017094017094E-4;[-8.348761247735904E-4,0.0011767564666539322]
NB VC;8562;5850;649;327.0;1.0;319.0;2.0;0.9969512195121951;0.993920972644377;0.995433789954338;0.003125;5.128205128205128E-4;[-0.001229006538923066,0.002254647564564092]
NB VC;7962;5850;649;310.0;3.0;336.0;0.0;0.9904153354632588;1.0;0.9951845906902087;0.008849557522123894;5.128205128205128E-4;[-0.001229006538923066,0.002254647564564092]
NB VC;8035;5850;649;300.0;3.0;346.0;0.0;0.9900990099009901;1.0;0.9950248756218906;0.008595988538681949;5.128205128205128E-4;[-0.001229006538923066,0.002254647564564092]
NB VC;10351;5850;649;321.0;1.0;327.0;0.0;0.9968944099378882;1.0;0.9984447900466563;0.003048780487804878;1.7094017094017094E-4;[-8.348761247735904E-4,0.0011767564666539322]
NB VC;8974;5850;649;322.0;2.0;322.0;3.0;0.9938271604938271;0.9907692307692307;0.9922958397534669;0.006172839506172839;8.547008547008547E-4;[-0.001393603578348415,0.0031030052877501243]
NB VC;8412;5850;649;287.0;1.0;361.0;0.0;0.9965277777777778;1.0;0.9982608695652174;0.0027624309392265192;1.7094017094017094E-4;[-8.348761247735904E-4,0.0011767564666539322]
NB VC;7847;5850;649;314.0;5.0;330.0;0.0;0.9843260188087775;1.0;0.9921011058451817;0.014925373134328358;8.547008547008547E-4;[-0.001393603578348415,0.0031030052877501243]
NB VC;8268;5850;649;326.0;1.0;322.0;0.0;0.9969418960244648;1.0;0.9984686064318529;0.0030959752321981426;1.7094017094017094E-4;[-8.348761247735904E-4,0.0011767564666539322]
NB VC;11002;5850;649;325.0;3.0;321.0;0.0;0.9908536585365854;1.0;0.995405819295559;0.009259259259259259;5.128205128205128E-4;[-0.001229006538923066,0.002254647564564092]
media;9176;5850;649;315.9;2.1;330.5;0.5;0.9933962264150943;0.9984197218710493;0.9959016393442622;0.006313890559230306;4.4444444444444447E-4;[-0.0011771637584367515,0.0020660526473256402]
