nomExperimento;duracion;cantEjemplosEntrenamiento;cantCantEjemplosPrueba;verdaderosPositivos;falsosPositivos;verdaderosNegativos;falsosNegativos;precision;recuperacion;medidaF;fallOf;errors;intervaloconfianza
ID3 VC;0;5850;649;301.0;12.0;334.0;2.0;0.9616613418530351;0.9933993399339934;0.9772727272727273;0.03468208092485549;0.002393162393162393;[-0.0013660729602841411,0.006152397746608928]
ID3 VC;0;5850;649;328.0;14.0;306.0;1.0;0.9590643274853801;0.9969604863221885;0.977645305514158;0.04375;0.002564102564102564;[-0.0013267423147635639,0.006454947442968692]
ID3 VC;0;5850;649;323.0;15.0;307.0;4.0;0.9556213017751479;0.9877675840978594;0.9714285714285714;0.046583850931677016;0.003247863247863248;[-0.0011296369870467337,0.007625363482773229]
ID3 VC;1;5850;649;325.0;15.0;307.0;2.0;0.9558823529411765;0.9938837920489296;0.974512743628186;0.046583850931677016;0.002905982905982906;[-0.0012354278373517143,0.007047393649317526]
ID3 VC;0;5850;649;302.0;14.0;331.0;2.0;0.9556962025316456;0.993421052631579;0.9741935483870968;0.04057971014492753;0.002735042735042735;[-0.0012830602218512873,0.006753145691936757]
ID3 VC;0;5850;649;309.0;17.0;321.0;2.0;0.9478527607361963;0.9935691318327974;0.9701726844583988;0.05029585798816568;0.003247863247863248;[-0.0011296369870467337,0.007625363482773229]
ID3 VC;0;5850;649;308.0;11.0;328.0;2.0;0.9655172413793104;0.9935483870967742;0.9793322734499206;0.032448377581120944;0.0022222222222222222;[-0.001400577949718128,0.0058450223941625724]
ID3 VC;0;5850;649;317.0;4.0;325.0;3.0;0.9875389408099688;0.990625;0.9890795631825272;0.0121580547112462;0.0011965811965811966;[-0.0014631933158865736,0.003856355709048967]
ID3 VC;1;5850;649;299.0;10.0;339.0;1.0;0.9676375404530745;0.9966666666666667;0.9819376026272578;0.02865329512893983;0.0018803418803418803;[-0.0014527204635461214,0.0052134042242298825]
ID3 VC;0;5850;649;296.0;9.0;339.0;5.0;0.9704918032786886;0.9833887043189369;0.9768976897689768;0.02586206896551724;0.002393162393162393;[-0.0013660729602841411,0.006152397746608928]
media;0;5850;649;310.8;12.1;323.7;2.4;0.9625270981728089;0.9923371647509579;0.9772048420059738;0.03603335318642049;0.002478632478632479;[-0.0013469792891766751,0.006304244246441633]
